vernacularName,verbatimScientificName,icelandicName
Long-eared Owl,Asio otus,Eyrugla
Long-tailed Duck,Clangula hyemalis,Hávella
Long-tailed Jaeger,Stercorarius longicaudus,Fjallkjói
Magnolia Warbler,Setophaga magnolia,Daggarskríkja
Mallard,Anas platyrhynchos,Stokkönd
Mandarin Duck,Aix galericulata,Mandarínönd
Manx Shearwater,Puffinus puffinus,Skrofa
Marsh Warbler,Acrocephalus palustris,Seljusöngvari
Meadow Pipit,Anthus pratensis,Þúfutittlingur
Mediterranean Gull,Ichthyaetus melanocephalus,Lónamáfur
Melodious Warbler,Hippolais polyglotta,Skopsöngvari
Merlin,Falco columbarius,Smyrill
Mew Gull,Larus canus,Stormmáfur
Mistle Thrush,Turdus viscivorus,Mistilþröstur
Montagu's Harrier,Circus pygargus,Gráheiðir
Mute Swan,Cygnus olor,Hnúðsvanur
Northern Fulmar,Fulmarus glacialis,Fýll
Northern Gannet,Morus bassanus,Súla
Northern Lapwing,Vanellus vanellus,Vepja
Northern Parula,Setophaga americana,Fléttuskríkja
Northern Pintail,Anas acuta,Grafönd
Northern Shoveler,Spatula clypeata,Skeiðönd
Northern Wheatear,Oenanthe oenanthe,Steindepill
Olive-backed Pipit,Anthus hodgsoni,Skógtittlingur
Osprey,Pandion haliaetus,Gjóður
Pacific Golden-Plover,Pluvialis fulva,Glitlóa
Pacific Swift,Apus pacificus,Forksvölungur
Paddyfield Warbler,Acrocephalus agricola,Dvalsöngvari
Pallid Harrier,Circus macrourus,Fölheiðir
Palm Warbler,Setophaga palmarum,Pálmaskríkja
Parasitic Jaeger,Stercorarius parasiticus,Kjói
Parrot Crossbill,Loxia pytyopsittacus,Pánefur
Pechora Pipit,Anthus gustavi,Svarðtittlingur
Pectoral Sandpiper,Calidris melanotos,Rákatíta
Peregrine Falcon,Falco peregrinus,Förufálki
Pied Avocet,Recurvirostra avosetta,Bjúgnefja
Pied-billed Grebe,Podilymbus podiceps,Stúfgoði
Pine Bunting,Emberiza leucocephalos,Lerkitittlingur
Pink-footed Goose,Anser brachyrhynchus,Heiðagæs
Pomarine Jaeger,Stercorarius pomarinus,Ískjói
Purple Gallinule,Porphyrio martinica,Flóðhæna
Purple Heron,Ardea purpurea,Rauðhegri
Purple Sandpiper,Calidris maritima,Sendlingur
Razorbill,Alca torda,Álka
Red Crossbill,Loxia curvirostra,Krossnefur
Red Kite,Milvus milvus,Svölugleða
Red Knot,Calidris canutus,Rauðbrystingur
Red Phalarope,Phalaropus fulicarius,Þórshani
Red-backed Shrike,Lanius collurio,Þyrnisvarri
Red-breasted Flycatcher,Ficedula parva,Peðgrípur
Red-breasted Goose,Branta ruficollis,Fagurgæs
Red-breasted Merganser,Mergus serrator,Toppönd
Red-breasted Nuthatch,Sitta canadensis,Bandigða
Red-eyed Vireo,Vireo olivaceus,Græningi
Red-flanked Bluetail,Tarsiger cyanurus,Bláskotta
Red-footed Falcon,Falco vespertinus,Kvöldfálki
Red-necked Grebe,Podiceps grisegena,Sefgoði
Red-necked Phalarope,Phalaropus lobatus,Óðinshani
Red-necked Stint,Calidris ruficollis,Roðatíta
Red-rumped Swallow,Cecropis daurica,Brandsvala
Red-throated Loon,Gavia stellata,Lómur
Redhead,Aythya americana,Kollönd
